accident_reference,date_of_collision,time_of_collision,collision_severity,easting,northing,first_road_class,second_road_class,division,local_authority,cycle_involved
0914642,01-Jan-20,2:51:00 AM,Slight,323358,657433,A,#NULL!,The Lothians and Scottish Borders,Midlothian,
0914656,01-Jan-20,7:48:00 AM,Serious,328344,674151,A,A,Edinburgh,City of Edinburgh,
0914685,01-Jan-20,4:15:00 PM,Serious,251672,669243,Unclassified,Unclass,Greater Glasgow,Glasgow City,
0914694,01-Jan-20,4:34:00 PM,Serious,250320,835075,A,Unclass,Highland and Islands,Highland,
0914700,01-Jan-20,4:00:00 AM,Slight,187099,688602,Unclassified,#NULL!,Argyll and West Dunbartonshire,Argyll & Bute,
0915011,01-Jan-20,9:26:00 PM,Fatal,278851,655053,Unclassified,Unclass,Lanarkshire,North Lanarkshire,
0915021,02-Jan-20,4:00:00 PM,Slight,276914,648279,A,B,Lanarkshire,South Lanarkshire,
0915030,02-Jan-20,7:55:00 PM,Slight,253198,669296,Unclassified,Unclass,Greater Glasgow,Glasgow City,
0915045,03-Jan-20,12:38:00 AM,Slight,261880,664975,Unclassified,Unclass,Greater Glasgow,Glasgow City,
0915091,02-Jan-20,12:45:00 PM,Slight,211532,757129,A,#NULL!,Highland and Islands,Highland,
0915179,03-Jan-20,7:40:00 AM,Serious,295127,657417,A,#NULL!,The Lothians and Scottish Borders,West Lothian,Involving at least 1 x Pedal Cycle
0915269,03-Jan-20,12:00:00 PM,Slight,231411,653541,Unclassified,Unclass,Ayrshire,North Ayrshire,
0915286,03-Jan-20,1:40:00 PM,Slight,253387,659525,Unclassified,Unclass,Greater Glasgow,Glasgow City,
0915315,03-Jan-20,4:30:00 PM,Slight,253160,661518,B,Unclass,Greater Glasgow,Glasgow City,
0915343,03-Jan-20,2:30:00 PM,Serious,284143,651871,A,#NULL!,Lanarkshire,South Lanarkshire,
0915347,02-Jan-20,1:30:00 PM,Slight,310771,573545,B,#NULL!,Dumfries and Galloway,Dumfries & Galloway,
0915350,03-Jan-20,2:05:00 PM,Serious,319258,575126,A(M),#NULL!,Dumfries and Galloway,Dumfries & Galloway,
0915353,03-Jan-20,3:40:00 PM,Serious,333659,734899,B,#NULL!,Tayside,Angus,
0915361,03-Jan-20,7:15:00 PM,Slight,250771,686999,A,Unclass,Forth Valley,Stirling,
0915383,03-Jan-20,1:15:00 PM,Slight,285307,675112,B,#NULL!,Forth Valley,Falkirk,
0915470,04-Jan-20,6:15:00 PM,Slight,242874,636182,Unclassified,B,Ayrshire,East Ayrshire,
0915471,04-Jan-20,5:55:00 PM,Slight,247872,663679,Unclassified,#NULL!,Renfrewshire and Inverclyde,Renfrewshire,Involving at least 1 x Pedal Cycle
0915480,04-Jan-20,12:18:00 AM,Slight,318124,675077,Unclassified,A,Edinburgh,City of Edinburgh,
0915481,04-Jan-20,3:30:00 PM,Slight,228738,682543,A,#NULL!,Argyll and West Dunbartonshire,Argyll & Bute,
0915495,04-Jan-20,11:20:00 PM,Slight,312912,678393,B,Unclass,Edinburgh,City of Edinburgh,
0915502,04-Jan-20,11:45:00 AM,Slight,319227,673580,B,Unclass,Edinburgh,City of Edinburgh,
0915541,04-Jan-20,7:45:00 PM,Slight,262309,664823,Unclassified,Unclass,Greater Glasgow,Glasgow City,
0915571,05-Jan-20,6:17:00 PM,Slight,225604,704159,A,#NULL!,Argyll and West Dunbartonshire,Argyll & Bute,
0915579,05-Jan-20,7:50:00 PM,Slight,317996,691905,A,#NULL!,Fife,Fife,
0915582,03-Jan-20,4:45:00 PM,Serious,386839,780100,A,Unclass,North East,Aberdeenshire,
0915587,05-Jan-20,12:30:00 AM,Slight,254566,669742,Unclassified,Unclass,Greater Glasgow,Glasgow City,
0916046,06-Jan-20,4:00:00 PM,Slight,271571,658182,MOTORWAY,#NULL!,Lanarkshire,North Lanarkshire,
0916052,06-Jan-20,4:55:00 PM,Slight,270569,656068,A,A,Lanarkshire,South Lanarkshire,
0916055,06-Jan-20,5:30:00 PM,Serious,275314,673757,A,A,Lanarkshire,North Lanarkshire,
0916087,05-Jan-20,11:05:00 PM,Fatal,313545,695808,MOTORWAY,#NULL!,Tayside,Perth & Kinross,
0916148,01-Jan-20,6:38:00 PM,Serious,267072,664769,A,Unclass,Greater Glasgow,Glasgow City,Involving at least 1 x Pedal Cycle
0916302,07-Jan-20,8:25:00 AM,Slight,285293,683116,A,A,Forth Valley,Falkirk,
0916349,07-Jan-20,8:55:00 AM,Slight,337895,731547,Unclassified,Unclass,Tayside,Dundee City,
0916399,07-Jan-20,8:20:00 AM,Serious,288130,682732,Unclassified,#NULL!,Forth Valley,Falkirk,Involving at least 1 x Pedal Cycle
0916404,03-Jan-20,12:17:00 PM,Serious,410608,845694,A,Unclass,North East,Aberdeenshire,
0916546,07-Jan-20,3:10:00 PM,Slight,272220,654916,A,A,Lanarkshire,South Lanarkshire,
0916567,07-Jan-20,3:30:00 PM,Slight,267305,887610,A,#NULL!,Highland and Islands,Highland,
0916582,05-Jan-20,3:30:00 PM,Slight,317978,697422,Unclassified,#NULL!,Fife,Fife,
0916591,07-Jan-20,9:15:00 PM,Fatal,319082,674899,A,#NULL!,Edinburgh,City of Edinburgh,
0916663,08-Jan-20,7:50:00 AM,Serious,327145,670473,A,Unclass,Edinburgh,City of Edinburgh,Involving at least 1 x Pedal Cycle
0916699,04-Jan-20,6:21:00 PM,Slight,324975,672774,Unclassified,Unclass,Edinburgh,City of Edinburgh,
0916713,05-Jan-20,4:20:00 PM,Serious,305933,671374,Unclassified,Unclass,The Lothians and Scottish Borders,West Lothian,
0916965,07-Jan-20,8:15:00 PM,Slight,223499,643220,Unclassified,Unclass,Ayrshire,North Ayrshire,
0917024,07-Jan-20,9:27:00 AM,Slight,249776,671559,A,#NULL!,Argyll and West Dunbartonshire,West Dunbartonshire,
0917055,07-Jan-20,6:10:00 PM,Slight,254221,666457,A,#NULL!,Greater Glasgow,Glasgow City,
0917057,07-Jan-20,6:00:00 PM,Slight,257315,660052,Unclassified,Unclass,Greater Glasgow,Glasgow City,
0917062,08-Jan-20,3:20:00 PM,Slight,328587,668007,Unclassified,Unclass,Edinburgh,City of Edinburgh,
0917079,08-Jan-20,5:50:00 PM,Serious,343063,731729,A,#NULL!,Tayside,Dundee City,
0917085,08-Jan-20,2:30:00 PM,Slight,263201,653188,Unclassified,#NULL!,Lanarkshire,South Lanarkshire,
0917093,08-Jan-20,8:28:00 PM,Serious,256861,663311,Unclassified,#NULL!,Greater Glasgow,Glasgow City,
0917101,08-Jan-20,3:20:00 PM,Fatal,304052,667393,A,#NULL!,The Lothians and Scottish Borders,West Lothian,
0917234,06-Jan-20,8:45:00 PM,Slight,244931,669271,MOTORWAY,#NULL!,Renfrewshire and Inverclyde,Renfrewshire,
0917488,06-Jan-20,1:00:00 PM,Slight,325693,673747,Unclassified,#NULL!,Edinburgh,City of Edinburgh,
0917497,09-Jan-20,7:00:00 AM,Fatal,344087,668911,A,Unclass,The Lothians and Scottish Borders,East Lothian,
0917513,09-Jan-20,2:45:00 PM,Slight,386136,826940,A,#NULL!,North East,Aberdeenshire,
0917517,06-Jan-20,5:30:00 PM,Serious,338365,701019,A,Unclass,Fife,Fife,
0917523,07-Jan-20,8:40:00 AM,Slight,272251,665864,Unclassified,#NULL!,Lanarkshire,North Lanarkshire,Involving at least 1 x Pedal Cycle
0917541,09-Jan-20,5:45:00 PM,Slight,275248,656719,Unclassified,Unclass,Lanarkshire,North Lanarkshire,
0917548,09-Jan-20,2:46:00 PM,Slight,345705,750389,A,Unclass,Tayside,Angus,
0917552,03-Jan-20,3:30:00 PM,Serious,202585,761453,A,#NULL!,Highland and Islands,Highland,
0917560,09-Jan-20,5:10:00 PM,Slight,326723,675016,Unclassified,Unclass,Edinburgh,City of Edinburgh,
0917564,09-Jan-20,9:35:00 PM,Serious,352686,635301,B,#NULL!,The Lothians and Scottish Borders,Scottish Borders,
0917568,10-Jan-20,1:20:00 AM,Slight,292607,710286,A,A,Tayside,Perth & Kinross,
0917572,01-Jan-20,2:32:00 PM,Slight,286666,680557,Unclassified,A,Forth Valley,Falkirk,
0917625,10-Jan-20,7:10:00 AM,Slight,253858,666018,Unclassified,#NULL!,Greater Glasgow,Glasgow City,
0917792,10-Jan-20,8:30:00 AM,Serious,284194,690408,Unclassified,#NULL!,Forth Valley,Stirling,
0917795,08-Jan-20,2:20:00 PM,Slight,190997,629463,B,#NULL!,Ayrshire,North Ayrshire,
0917801,10-Jan-20,9:40:00 AM,Slight,279920,648936,Unclassified,#NULL!,Lanarkshire,South Lanarkshire,
0917837,10-Jan-20,8:50:00 AM,Serious,257683,661639,Unclassified,#NULL!,Greater Glasgow,Glasgow City,
0917849,05-Jan-20,7:25:00 PM,Fatal,270264,656070,A,#NULL!,Lanarkshire,South Lanarkshire,
0917857,09-Jan-20,10:10:00 PM,Slight,251176,670931,Unclassified,#NULL!,Greater Glasgow,Glasgow City,
0917923,10-Jan-20,3:10:00 PM,Slight,246512,661374,Unclassified,#NULL!,Renfrewshire and Inverclyde,Renfrewshire,
0917945,10-Jan-20,2:06:00 PM,Slight,261251,663281,A,A,Greater Glasgow,Glasgow City,
0917953,08-Jan-20,5:30:00 PM,Slight,258676,661355,Unclassified,Unclass,Greater Glasgow,Glasgow City,Involving at least 1 x Pedal Cycle
0917954,10-Jan-20,5:01:00 PM,Serious,275465,696761,A,#NULL!,Forth Valley,Stirling,
0917959,10-Jan-20,5:07:00 PM,Serious,287893,643771,A,#NULL!,Lanarkshire,South Lanarkshire,
0917970,10-Jan-20,2:30:00 PM,Slight,233654,622050,A,#NULL!,Ayrshire,South Ayrshire,
0917972,10-Jan-20,6:18:00 PM,Slight,259502,660676,Unclassified,Unclass,Greater Glasgow,Glasgow City,
0917973,10-Jan-20,7:00:00 PM,Slight,260150,662803,A,Unclass,Greater Glasgow,Glasgow City,
0917974,10-Jan-20,5:43:00 PM,Slight,252616,668169,Unclassified,#NULL!,Greater Glasgow,Glasgow City,
0917979,10-Jan-20,3:50:00 PM,Slight,260003,863782,A,#NULL!,Highland and Islands,Highland,
0918033,11-Jan-20,6:50:00 AM,Slight,305588,688888,A,#NULL!,Fife,Fife,
0918060,09-Jan-20,1:20:00 PM,Slight,246060,662229,Unclassified,Unclass,Renfrewshire and Inverclyde,Renfrewshire,
0918071,11-Jan-20,10:30:00 AM,Slight,279437,642905,Unclassified,Unclass,Lanarkshire,South Lanarkshire,
0918096,10-Jan-20,1:20:00 PM,Serious,312356,678670,Unclassified,#NULL!,Edinburgh,City of Edinburgh,
0918101,07-Jan-20,4:30:00 PM,Serious,369858,676486,A,A,The Lothians and Scottish Borders,East Lothian,
0918109,10-Jan-20,5:30:00 PM,Serious,223370,642876,B,Unclass,Ayrshire,North Ayrshire,
0918125,10-Jan-20,9:00:00 AM,Slight,272082,677506,Unclassified,#NULL!,Lanarkshire,North Lanarkshire,
0918127,11-Jan-20,3:16:00 PM,Serious,259359,665240,Unclassified,Unclass,Greater Glasgow,Glasgow City,
0918154,11-Jan-20,6:15:00 PM,Serious,258811,665641,Unclassified,Unclass,Greater Glasgow,Glasgow City,
0918156,11-Jan-20,6:30:00 PM,Serious,268972,661501,MOTORWAY,#NULL!,Lanarkshire,South Lanarkshire,
0918166,11-Jan-20,7:16:00 PM,Slight,252164,664129,A,A,Greater Glasgow,Glasgow City,
0918169,11-Jan-20,8:10:00 PM,Slight,276623,562564,A,#NULL!,Dumfries and Galloway,Dumfries & Galloway,
0918197,12-Jan-20,5:55:00 AM,Slight,336695,712300,A,#NULL!,Fife,Fife,
0918202,10-Jan-20,10:00:00 AM,Serious,259303,663625,A,Unclass,Greater Glasgow,Glasgow City,
0918225,10-Jan-20,1:40:00 PM,Slight,259515,659716,Unclassified,Unclass,Greater Glasgow,Glasgow City,
0918226,12-Jan-20,11:20:00 AM,Slight,293863,677008,Unclassified,Unclass,Forth Valley,Falkirk,
0918266,04-Jan-20,8:00:00 AM,Slight,289010,902895,A,#NULL!,Highland and Islands,Highland,
0918280,10-Jan-20,5:00:00 PM,Fatal,384265,782895,A,Unclass,North East,Aberdeenshire,
0918286,10-Jan-20,5:40:00 PM,Slight,242938,637608,A,A,Ayrshire,East Ayrshire,
0918299,07-Jan-20,10:30:00 AM,Serious,371444,757860,Unclassified,Unclass,Tayside,Angus,
0918300,12-Jan-20,11:30:00 PM,Slight,322618,662075,A,#NULL!,The Lothians and Scottish Borders,Midlothian,
0918302,12-Jan-20,12:40:00 AM,Slight,335363,733828,Unclassified,#NULL!,Tayside,Angus,
0918308,10-Jan-20,1:15:00 PM,Slight,343831,732675,Unclassified,#NULL!,Tayside,Dundee City,
0918310,12-Jan-20,11:10:00 AM,Serious,280188,657254,Unclassified,Unclass,Lanarkshire,North Lanarkshire,
0918354,01-Jan-20,5:30:00 AM,Slight,224517,790310,A,#NULL!,Highland and Islands,Highland,
0918461,12-Jan-20,2:30:00 PM,Slight,260516,664766,A,Unclass,Greater Glasgow,Glasgow City,Involving at least 1 x Pedal Cycle
0918640,08-Jan-20,6:36:00 PM,Slight,258351,664040,MOTORWAY,#NULL!,Greater Glasgow,Glasgow City,
0918780,13-Jan-20,4:15:00 PM,Slight,254852,663089,Unclassified,Unclass,Greater Glasgow,Glasgow City,
0918783,13-Jan-20,2:00:00 PM,Slight,225539,704162,A,#NULL!,Argyll and West Dunbartonshire,Argyll & Bute,
0918784,10-Jan-20,1:54:00 PM,Slight,261063,667519,Unclassified,Unclass,Greater Glasgow,Glasgow City,
0918786,06-Jan-20,3:02:00 PM,Serious,232691,802093,A,#NULL!,Highland and Islands,Highland,
0918794,14-Jan-20,1:50:00 AM,Serious,263529,662453,MOTORWAY,#NULL!,Greater Glasgow,Glasgow City,
0918795,13-Jan-20,10:15:00 PM,Slight,270156,666491,A,Unclass,Lanarkshire,North Lanarkshire,
0918804,13-Jan-20,7:45:00 AM,Slight,279144,679683,MOTORWAY,#NULL!,Forth Valley,Falkirk,
0919224,14-Jan-20,1:55:00 PM,Serious,325293,674208,Unclassified,Unclass,Edinburgh,City of Edinburgh,
0919243,13-Jan-20,5:10:00 PM,Slight,316863,691048,A,A,Fife,Fife,
0919310,12-Jan-20,5:55:00 PM,Slight,266732,666500,Unclassified,Unclass,Greater Glasgow,Glasgow City,
0919481,15-Jan-20,9:30:00 AM,Slight,315552,959419,A,Unclass,Highland and Islands,Highland,
0919495,15-Jan-20,8:00:00 AM,Slight,259055,665849,Unclassified,Unclass,Greater Glasgow,Glasgow City,
0919562,15-Jan-20,8:58:00 AM,Serious,310871,722613,Unclassified,Unclass,Tayside,Perth & Kinross,
0919717,15-Jan-20,3:27:00 PM,Serious,272825,663597,Unclassified,#NULL!,Lanarkshire,North Lanarkshire,
0919726,15-Jan-20,4:02:00 PM,Slight,273313,662601,A,B,Lanarkshire,North Lanarkshire,
0919746,15-Jan-20,5:00:00 PM,Serious,319713,672984,A,#NULL!,Edinburgh,City of Edinburgh,
0919752,15-Jan-20,8:05:00 AM,Slight,230979,642646,A,#NULL!,Ayrshire,North Ayrshire,
0919757,12-Jan-20,1:15:00 PM,Serious,388332,652598,B,#NULL!,The Lothians and Scottish Borders,Scottish Borders,
0919758,09-Jan-20,11:45:00 AM,Slight,260153,660796,Unclassified,Unclass,Lanarkshire,South Lanarkshire,
0919760,15-Jan-20,1:20:00 PM,Slight,311185,683534,A,#NULL!,Fife,Fife,
0919761,14-Jan-20,3:00:00 AM,Serious,238597,675760,Unclassified,A,Argyll and West Dunbartonshire,West Dunbartonshire,
0919763,15-Jan-20,7:18:00 PM,Serious,359392,761421,A,#NULL!,Tayside,Angus,
0920030,16-Jan-20,11:20:00 AM,Slight,263059,661021,Unclassified,#NULL!,Lanarkshire,South Lanarkshire,
0920048,16-Jan-20,7:20:00 AM,Slight,249874,663898,Unclassified,Unclass,Renfrewshire and Inverclyde,Renfrewshire,
0920123,16-Jan-20,8:45:00 AM,Slight,326696,674490,Unclassified,B,Edinburgh,City of Edinburgh,
0920126,16-Jan-20,5:30:00 PM,Serious,226611,642037,B,Unclass,Ayrshire,North Ayrshire,
0920132,16-Jan-20,3:30:00 PM,Serious,253601,681444,A,#NULL!,Forth Valley,Stirling,
0920137,15-Jan-20,8:25:00 AM,Slight,279980,692337,Unclassified,Unclass,Forth Valley,Stirling,
0920147,16-Jan-20,9:53:00 PM,Slight,289340,696086,Unclassified,#NULL!,Forth Valley,Clackmannanshire,
0920157,16-Jan-20,9:12:00 AM,Slight,321195,668623,Unclassified,Unclass,Edinburgh,City of Edinburgh,
0920219,17-Jan-20,6:45:00 AM,Serious,311426,684062,C,Unclass,Fife,Fife,
0920242,15-Jan-20,4:35:00 PM,Serious,244340,664294,A,B,Renfrewshire and Inverclyde,Renfrewshire,
0920250,11-Jan-20,7:30:00 PM,Slight,297618,575875,A,Unclass,Dumfries and Galloway,Dumfries & Galloway,
0920303,16-Jan-20,8:43:00 AM,Slight,343029,731654,B,#NULL!,Tayside,Dundee City,
0920363,17-Jan-20,8:10:00 AM,Serious,308133,740158,A,#NULL!,Tayside,Perth & Kinross,
0920405,15-Jan-20,11:10:00 AM,Slight,393454,806964,A,Unclass,North East,Aberdeen City,
0920432,16-Jan-20,9:15:00 AM,Slight,253437,669004,Unclassified,Unclass,Greater Glasgow,Glasgow City,
0920436,07-Jan-20,1:00:00 PM,Slight,255379,660315,Unclassified,#NULL!,Greater Glasgow,Glasgow City,
0920472,16-Jan-20,2:50:00 PM,Slight,324812,673179,A,B,Edinburgh,City of Edinburgh,
0920474,17-Jan-20,2:47:00 PM,Slight,393123,807448,Unclassified,Unclass,North East,Aberdeen City,
0920475,17-Jan-20,7:45:00 PM,Serious,241327,675166,A,#NULL!,Argyll and West Dunbartonshire,West Dunbartonshire,
0920495,17-Jan-20,7:56:00 PM,Slight,324160,676435,Unclassified,Unclass,Edinburgh,City of Edinburgh,Involving at least 1 x Pedal Cycle
0920517,17-Jan-20,12:15:00 PM,Slight,333484,667608,A,Unclass,The Lothians and Scottish Borders,Midlothian,
0920521,16-Jan-20,12:40:00 PM,Slight,304525,689026,A,#NULL!,Fife,Fife,
0920540,17-Jan-20,12:00:00 PM,Slight,374018,674768,A,#NULL!,The Lothians and Scottish Borders,East Lothian,
0920553,06-Jan-20,1:00:00 PM,Serious,325980,702101,Unclassified,#NULL!,Fife,Fife,
0920554,18-Jan-20,7:23:00 AM,Slight,252858,843920,A,Unclass,Highland and Islands,Highland,
0920570,18-Jan-20,9:10:00 AM,Serious,303891,686236,A,A,Fife,Fife,Involving at least 1 x Pedal Cycle
0920595,18-Jan-20,10:05:00 AM,Slight,255070,669606,A,#NULL!,Greater Glasgow,Glasgow City,
0920620,18-Jan-20,1:12:00 PM,Slight,257984,665299,A,A,Greater Glasgow,Glasgow City,
0920622,17-Jan-20,2:03:00 PM,Slight,326640,671359,Unclassified,Unclass,Edinburgh,City of Edinburgh,Involving at least 1 x Pedal Cycle
0920629,17-Jan-20,3:20:00 PM,Serious,291326,679432,A,Unclass,Forth Valley,Falkirk,
0920630,18-Jan-20,11:35:00 AM,Slight,339203,733753,Unclassified,#NULL!,Tayside,Dundee City,
0920631,18-Jan-20,10:22:00 AM,Serious,325931,663359,A,B,The Lothians and Scottish Borders,Midlothian,Involving at least 1 x Pedal Cycle
0920634,18-Jan-20,1:32:00 PM,Slight,288728,681255,B,Unclass,Forth Valley,Falkirk,
0920635,17-Jan-20,9:15:00 PM,Serious,240742,640588,B,#NULL!,Ayrshire,East Ayrshire,
0920671,17-Jan-20,8:10:00 PM,Serious,261242,663288,A,A,Greater Glasgow,Glasgow City,
0920698,18-Jan-20,7:15:00 PM,Slight,257765,664621,A,#NULL!,Greater Glasgow,Glasgow City,
0920717,19-Jan-20,12:26:00 AM,Slight,257274,665795,Unclassified,#NULL!,Greater Glasgow,Glasgow City,
0920728,18-Jan-20,12:41:00 PM,Serious,329106,936974,A,#NULL!,Highland and Islands,Highland,
0920752,14-Jan-20,8:30:00 AM,Slight,319014,672846,Unclassified,A,Edinburgh,City of Edinburgh,Involving at least 1 x Pedal Cycle
0920767,19-Jan-20,9:35:00 AM,Slight,329749,694353,A,A,Fife,Fife,
0920776,18-Jan-20,8:20:00 AM,Serious,230932,652816,B,#NULL!,Ayrshire,North Ayrshire,
0920784,17-Jan-20,10:30:00 AM,Serious,254388,655093,Unclassified,Unclass,Greater Glasgow,East Renfrewshire,
0920786,17-Jan-20,7:40:00 PM,Slight,329611,670579,Unclassified,#NULL!,Edinburgh,City of Edinburgh,
0920798,18-Jan-20,6:30:00 AM,Slight,324875,718516,C,#NULL!,Fife,Fife,
0920799,17-Jan-20,12:30:00 PM,Serious,258665,667296,Unclassified,Unclass,Greater Glasgow,Glasgow City,Involving at least 1 x Pedal Cycle
0920831,18-Jan-20,6:58:00 PM,Slight,277672,655636,Unclassified,Unclass,Lanarkshire,North Lanarkshire,
0920834,17-Jan-20,9:00:00 AM,Slight,328477,670396,Unclassified,A,Edinburgh,City of Edinburgh,Involving at least 1 x Pedal Cycle
0920842,08-Jan-20,10:00:00 AM,Serious,270853,846863,A,#NULL!,Highland and Islands,Highland,
0920848,18-Jan-20,4:40:00 PM,Slight,229684,644861,A,#NULL!,Ayrshire,North Ayrshire,
0920854,19-Jan-20,2:15:00 PM,Serious,283731,636232,B,#NULL!,Lanarkshire,South Lanarkshire,
0920856,18-Jan-20,2:07:00 PM,Slight,262154,668548,Unclassified,#NULL!,Greater Glasgow,Glasgow City,
0920857,18-Jan-20,5:50:00 PM,Fatal,168306,617163,B,Unclass,Argyll and West Dunbartonshire,Argyll & Bute,
0920859,19-Jan-20,5:16:00 PM,Slight,258830,668241,Unclassified,B,Greater Glasgow,Glasgow City,
0920863,19-Jan-20,2:27:00 PM,Serious,290569,821238,A,#NULL!,Highland and Islands,Highland,
0920871,19-Jan-20,6:40:00 PM,Slight,391427,804036,Unclassified,#NULL!,North East,Aberdeen City,
0920876,19-Jan-20,3:35:00 AM,Serious,260359,853767,A,#NULL!,Highland and Islands,Highland,
0920979,13-Jan-20,9:35:00 AM,Slight,245703,671429,MOTORWAY,#NULL!,Renfrewshire and Inverclyde,Renfrewshire,
0921114,20-Jan-20,8:15:00 AM,Slight,324211,673347,A,Unclass,Edinburgh,City of Edinburgh,Involving at least 1 x Pedal Cycle
0921119,20-Jan-20,9:00:00 AM,Slight,288839,693354,B,#NULL!,Forth Valley,Clackmannanshire,
0921129,20-Jan-20,7:30:00 AM,Slight,325649,674306,Unclassified,#NULL!,Edinburgh,City of Edinburgh,
0921133,17-Jan-20,6:00:00 PM,Slight,259238,663012,MOTORWAY,#NULL!,Greater Glasgow,Glasgow City,
0921288,20-Jan-20,2:00:00 PM,Slight,255721,674008,A,#NULL!,Greater Glasgow,East Dunbartonshire,
0921313,20-Jan-20,2:15:00 PM,Slight,270032,664552,A,A,Lanarkshire,North Lanarkshire,
0921322,20-Jan-20,6:15:00 PM,Slight,290964,626613,MOTORWAY,#NULL!,Lanarkshire,South Lanarkshire,
0921333,20-Jan-20,5:15:00 PM,Serious,258402,660655,B,Unclass,Greater Glasgow,Glasgow City,
0921334,17-Jan-20,2:55:00 PM,Slight,254187,659717,Unclassified,Unclass,Greater Glasgow,Glasgow City,
0921336,20-Jan-20,4:35:00 PM,Slight,254836,670273,A,Unclass,Greater Glasgow,East Dunbartonshire,
0921337,17-Jan-20,8:22:00 AM,Slight,247106,662118,B,Unclass,Renfrewshire and Inverclyde,Renfrewshire,
0921338,20-Jan-20,3:45:00 PM,Slight,260944,663730,A,Unclass,Greater Glasgow,Glasgow City,
0921341,14-Jan-20,5:52:00 PM,Slight,327640,699113,Unclassified,B,Fife,Fife,
0921342,20-Jan-20,4:25:00 PM,Serious,304214,676169,Unclassified,B,The Lothians and Scottish Borders,West Lothian,
0921347,13-Jan-20,5:40:00 PM,Slight,323549,672541,A,#NULL!,Edinburgh,City of Edinburgh,
0921349,20-Jan-20,8:13:00 PM,Serious,265134,665325,A,B,Greater Glasgow,Glasgow City,
0921351,19-Jan-20,7:10:00 PM,Serious,392200,809019,A,Unclass,North East,Aberdeen City,
0921352,17-Jan-20,3:15:00 PM,Slight,249903,627172,A,Unclass,Ayrshire,East Ayrshire,
0921355,20-Jan-20,10:00:00 PM,Slight,297120,680313,A,#NULL!,Forth Valley,Falkirk,
0921648,21-Jan-20,9:38:00 AM,Slight,264727,655950,A,#NULL!,Lanarkshire,South Lanarkshire,
0921697,21-Jan-20,9:00:00 AM,Slight,270465,656002,A,Unclass,Lanarkshire,South Lanarkshire,
0921739,21-Jan-20,1:20:00 PM,Serious,234056,622078,A,Unclass,Ayrshire,South Ayrshire,
0921807,21-Jan-20,5:35:00 PM,Slight,341813,732123,Unclassified,#NULL!,Tayside,Dundee City,
0921817,21-Jan-20,6:30:00 PM,Slight,256526,665698,A,#NULL!,Greater Glasgow,Glasgow City,
0921821,21-Jan-20,5:30:00 PM,Slight,259945,664631,A,A,Greater Glasgow,Glasgow City,
0921824,21-Jan-20,9:40:00 PM,Serious,232699,640446,Unclassified,#NULL!,Ayrshire,North Ayrshire,
0921825,21-Jan-20,10:35:00 PM,Slight,257542,662341,A,#NULL!,Greater Glasgow,Glasgow City,
0921831,09-Jan-20,5:15:00 PM,Serious,262466,663845,Unclassified,Unclass,Greater Glasgow,Glasgow City,Involving at least 1 x Pedal Cycle
0921839,19-Jan-20,3:15:00 PM,Slight,278484,654405,B,Unclass,Lanarkshire,North Lanarkshire,Involving at least 1 x Pedal Cycle
0921842,16-Jan-20,3:56:00 PM,Serious,352862,840177,Unclassified,Unclass,North East,Aberdeenshire,Involving at least 1 x Pedal Cycle
0922083,21-Jan-20,5:45:00 PM,Slight,338220,730298,Unclassified,Unclass,Tayside,Dundee City,Involving at least 1 x Pedal Cycle
0922150,21-Jan-20,8:50:00 AM,Slight,326865,675728,Unclassified,A,Edinburgh,City of Edinburgh,
0922198,22-Jan-20,1:10:00 PM,Serious,247074,672843,A,#NULL!,Argyll and West Dunbartonshire,West Dunbartonshire,
0922216,21-Jan-20,1:00:00 PM,Fatal,391035,807034,A,A,North East,Aberdeen City,
0922279,21-Jan-20,4:30:00 PM,Slight,258565,665158,Unclassified,Unclass,Greater Glasgow,Glasgow City,Involving at least 1 x Pedal Cycle
0922292,21-Jan-20,6:15:00 PM,Serious,254920,664474,Unclassified,Unclass,Greater Glasgow,Glasgow City,
0922294,22-Jan-20,2:15:00 PM,Serious,324844,694631,A,A,Fife,Fife,
0922295,18-Jan-20,10:30:00 AM,Slight,310893,723911,Unclassified,#NULL!,Tayside,Perth & Kinross,Involving at least 1 x Pedal Cycle
0922300,22-Jan-20,8:11:00 PM,Slight,323260,660059,B,Unclass,The Lothians and Scottish Borders,Midlothian,
0922312,22-Jan-20,9:45:00 PM,Slight,260618,659805,Unclassified,Unclass,Greater Glasgow,Glasgow City,
0922325,07-Jan-20,4:45:00 PM,Slight,340045,732839,Unclassified,#NULL!,Tayside,Dundee City,
0922327,17-Jan-20,6:30:00 PM,Slight,261017,665883,MOTORWAY,#NULL!,Greater Glasgow,Glasgow City,
0922335,07-Jan-20,3:50:00 PM,Slight,328103,735820,A,#NULL!,Tayside,Angus,
0922387,21-Jan-20,7:00:00 PM,Serious,287919,680193,A,Unclass,Forth Valley,Falkirk,
0922509,18-Jan-20,11:40:00 AM,Slight,329342,669384,Unclassified,#NULL!,Edinburgh,City of Edinburgh,
0922594,23-Jan-20,5:49:00 AM,Fatal,290288,695902,A,#NULL!,Forth Valley,Clackmannanshire,
0922611,23-Jan-20,11:45:00 AM,Slight,263385,666270,Unclassified,Unclass,Greater Glasgow,Glasgow City,
0922656,22-Jan-20,9:40:00 PM,Serious,238778,680871,B,Unclass,Argyll and West Dunbartonshire,West Dunbartonshire,
