accident_reference,date_of_collision,time_of_collision,collision_severity,easting,northing,first_road_class,second_road_class,division,local_authority,cycle_involved
1029629,20-Mar-21,4:05:00 PM,Serious,260801,668251,Unclassified,#NULL!,Greater Glasgow,Glasgow City,
1029649,20-Mar-21,11:45:00 PM,Slight,298701,660849,A,#NULL!,The Lothians and Scottish Borders,West Lothian,
1029657,20-Mar-21,2:30:00 PM,Slight,234510,640613,B,B,Ayrshire,North Ayrshire,
1029660,19-Mar-21,5:30:00 PM,Slight,332173,671967,Unclassified,A,Edinburgh,City of Edinburgh,
1029716,20-Mar-21,4:30:00 PM,Serious,337510,705173,B,#NULL!,Fife,Fife,
1029723,21-Mar-21,9:10:00 AM,Serious,132684,652561,A,#NULL!,Argyll and West Dunbartonshire,Argyll & Bute,
1029731,21-Mar-21,6:22:00 PM,Slight,324892,672597,Unclassified,A,Edinburgh,City of Edinburgh,Involving at least 1 x Pedal Cycle
1029734,20-Mar-21,10:40:00 PM,Slight,351081,615184,A,#NULL!,The Lothians and Scottish Borders,Scottish Borders,
1029736,18-Mar-21,8:30:00 AM,Slight,283200,707181,A,Unclass,Tayside,Perth & Kinross,
1029739,21-Mar-21,5:40:00 PM,Slight,290029,666421,B,Unclass,The Lothians and Scottish Borders,West Lothian,
1029744,21-Mar-21,10:23:00 PM,Serious,251755,669404,Unclassified,#NULL!,Greater Glasgow,Glasgow City,
1029770,22-Mar-21,12:07:00 AM,Serious,386825,806216,A,A,North East,Aberdeen City,
1029827,22-Mar-21,8:00:00 AM,Slight,266244,669593,MOTORWAY,#NULL!,Lanarkshire,North Lanarkshire,
1029899,21-Mar-21,5:30:00 PM,Slight,276463,658171,Unclassified,#NULL!,Lanarkshire,North Lanarkshire,
1029953,22-Mar-21,1:06:00 AM,Serious,412308,845270,Unclassified,A,North East,Aberdeenshire,
1029986,21-Mar-21,4:38:00 PM,Slight,325890,674478,Unclassified,B,Edinburgh,City of Edinburgh,Involving at least 1 x Pedal Cycle
1029992,21-Mar-21,1:17:00 PM,Serious,329451,664521,Unclassified,Unclass,The Lothians and Scottish Borders,Midlothian,Involving at least 1 x Pedal Cycle
1030084,18-Mar-21,5:00:00 PM,Slight,298209,662947,B,Unclass,The Lothians and Scottish Borders,West Lothian,
1030085,18-Mar-21,2:45:00 PM,Slight,332651,673125,A,Unclass,Edinburgh,City of Edinburgh,
1030096,10-Mar-21,1:20:00 PM,Serious,316825,667083,A,Unclass,Edinburgh,City of Edinburgh,
